Health: 295; Armor: 0; MR: 0; Gold: 790
Health: 400; Armor: 0; MR: 0; Gold: 1070
Health: 576; Armor: 0; MR: 0; Gold: 1540
Health: 614; Armor: 0; MR: 0; Gold: 1640
Health: 687; Armor: 0; MR: 0; Gold: 1820
Health: 764; Armor: 0; MR: 0; Gold: 2040
Health: 801; Armor: 0; MR: 0; Gold: 2140
Health: 823; Armor: 0; MR: 0; Gold: 2200
Health: 842; Armor: 0; MR: 0; Gold: 2250
Health: 861; Armor: 0; MR: 0; Gold: 2300
Health: 872; Armor: 0; MR: 0; Gold: 2330
Health: 883; Armor: 0; MR: 0; Gold: 2360
Health: 943; Armor: 0; MR: 0; Gold: 2520
Health: 955; Armor: 0; MR: 0; Gold: 2550
Health: 982; Armor: 0; MR: 0; Gold: 2610
Health: 981; Armor: 0; MR: 0; Gold: 2620
Health: 982; Armor: 0; MR: 0; Gold: 2630
Health: 1011; Armor: 0; MR: 0; Gold: 2700
Health: 1018; Armor: 0; MR: 0; Gold: 2730
Health: 1021; Armor: 0; MR: 0; Gold: 2740
Health: 1023; Armor: 0; MR: 0; Gold: 2750
Health: 1028; Armor: 0; MR: 1; Gold: 2770
Health: 1031; Armor: 0; MR: 1; Gold: 2780
Health: 1036; Armor: 0; MR: 1; Gold: 2800
Health: 1046; Armor: 0; MR: 2; Gold: 2840
Health: 1048; Armor: 0; MR: 2; Gold: 2850
Health: 1053; Armor: 0; MR: 3; Gold: 2870
Health: 1058; Armor: 0; MR: 3; Gold: 2890
Health: 1061; Armor: 0; MR: 3; Gold: 2900
Health: 1078; Armor: 0; MR: 2; Gold: 2920
Health: 1068; Armor: 0; MR: 4; Gold: 2930
Health: 1071; Armor: 0; MR: 4; Gold: 2940
Health: 1073; Armor: 0; MR: 4; Gold: 2950
Health: 1083; Armor: 0; MR: 5; Gold: 2990
Health: 1089; Armor: 0; MR: 5; Gold: 3010
Health: 1138; Armor: 0; MR: 0; Gold: 3030
Health: 1099; Armor: 0; MR: 6; Gold: 3050
Health: 1104; Armor: 0; MR: 6; Gold: 3070
Health: 1106; Armor: 0; MR: 6; Gold: 3080
Health: 1109; Armor: 0; MR: 7; Gold: 3090
Health: 1181; Armor: 0; MR: 0; Gold: 3140
Health: 1129; Armor: 0; MR: 8; Gold: 3170
Health: 1134; Armor: 0; MR: 8; Gold: 3190
Health: 1137; Armor: 0; MR: 9; Gold: 3200
Health: 1139; Armor: 0; MR: 9; Gold: 3210
Health: 1142; Armor: 0; MR: 9; Gold: 3220
Health: 1144; Armor: 0; MR: 9; Gold: 3230
Health: 1147; Armor: 0; MR: 9; Gold: 3240
Health: 1154; Armor: 0; MR: 10; Gold: 3270
Health: 1157; Armor: 0; MR: 10; Gold: 3280
Health: 1175; Armor: 0; MR: 11; Gold: 3350
Health: 1180; Armor: 0; MR: 12; Gold: 3370
Health: 1271; Armor: 0; MR: 0; Gold: 3380
Health: 1185; Armor: 0; MR: 12; Gold: 3390
Health: 1187; Armor: 0; MR: 12; Gold: 3400
Health: 1192; Armor: 0; MR: 13; Gold: 3420
Health: 1195; Armor: 0; MR: 13; Gold: 3430
Health: 1296; Armor: 0; MR: 0; Gold: 3450
Health: 1203; Armor: 0; MR: 13; Gold: 3460
Health: 1208; Armor: 0; MR: 14; Gold: 3480
Health: 1213; Armor: 0; MR: 14; Gold: 3500
Health: 1215; Armor: 0; MR: 14; Gold: 3510
Health: 1218; Armor: 0; MR: 14; Gold: 3520
Health: 1221; Armor: 0; MR: 14; Gold: 3530
Health: 1223; Armor: 0; MR: 15; Gold: 3540
Health: 1226; Armor: 0; MR: 15; Gold: 3550
Health: 1228; Armor: 0; MR: 15; Gold: 3560
Health: 1231; Armor: 0; MR: 15; Gold: 3570
Health: 1233; Armor: 0; MR: 15; Gold: 3580
Health: 1236; Armor: 0; MR: 16; Gold: 3590
Health: 1238; Armor: 0; MR: 16; Gold: 3600
Health: 1241; Armor: 0; MR: 16; Gold: 3610
Health: 1246; Armor: 0; MR: 16; Gold: 3630
Health: 1256; Armor: 0; MR: 17; Gold: 3670
Health: 1385; Armor: 0; MR: 0; Gold: 3680
Health: 1395; Armor: 0; MR: 0; Gold: 3720
Health: 1399; Armor: 0; MR: 0; Gold: 3730
Health: 1274; Armor: 0; MR: 18; Gold: 3740
Health: 1277; Armor: 0; MR: 18; Gold: 3750
Health: 1279; Armor: 0; MR: 19; Gold: 3760
Health: 1282; Armor: 0; MR: 19; Gold: 3770
Health: 1285; Armor: 0; MR: 19; Gold: 3780
Health: 1287; Armor: 0; MR: 19; Gold: 3790
Health: 1290; Armor: 0; MR: 19; Gold: 3800
Health: 1292; Armor: 0; MR: 19; Gold: 3810
Health: 1295; Armor: 0; MR: 20; Gold: 3820
Health: 1297; Armor: 0; MR: 20; Gold: 3830
Health: 1300; Armor: 0; MR: 20; Gold: 3840
Health: 1303; Armor: 0; MR: 20; Gold: 3850
Health: 1305; Armor: 0; MR: 20; Gold: 3860
Health: 1308; Armor: 0; MR: 20; Gold: 3870
Health: 1310; Armor: 0; MR: 21; Gold: 3880
Health: 1313; Armor: 0; MR: 21; Gold: 3890
Health: 1316; Armor: 0; MR: 21; Gold: 3900
Health: 1318; Armor: 0; MR: 21; Gold: 3910
Health: 1321; Armor: 0; MR: 21; Gold: 3920
Health: 1323; Armor: 0; MR: 21; Gold: 3930
Health: 1326; Armor: 0; MR: 22; Gold: 3940
Health: 1328; Armor: 0; MR: 22; Gold: 3950
Health: 1331; Armor: 0; MR: 22; Gold: 3960
Health: 1334; Armor: 0; MR: 22; Gold: 3970
Health: 1336; Armor: 0; MR: 22; Gold: 3980
Health: 1339; Armor: 0; MR: 23; Gold: 3990
Health: 1341; Armor: 0; MR: 23; Gold: 4000
Health: 1344; Armor: 0; MR: 23; Gold: 4010
Health: 1347; Armor: 0; MR: 23; Gold: 4020
Health: 1349; Armor: 0; MR: 23; Gold: 4030
Health: 1352; Armor: 0; MR: 23; Gold: 4040
Health: 1354; Armor: 0; MR: 24; Gold: 4050
Health: 1357; Armor: 0; MR: 24; Gold: 4060
Health: 1359; Armor: 0; MR: 24; Gold: 4070
Health: 1362; Armor: 0; MR: 24; Gold: 4080
Health: 1365; Armor: 0; MR: 24; Gold: 4090
Health: 1367; Armor: 0; MR: 24; Gold: 4100
Health: 1370; Armor: 0; MR: 25; Gold: 4110
Health: 1372; Armor: 0; MR: 25; Gold: 4120
Health: 1375; Armor: 0; MR: 25; Gold: 4130
Health: 1378; Armor: 0; MR: 25; Gold: 4140
Health: 1380; Armor: 0; MR: 25; Gold: 4150
Health: 1383; Armor: 0; MR: 25; Gold: 4160
Health: 1385; Armor: 0; MR: 26; Gold: 4170
Health: 1388; Armor: 0; MR: 26; Gold: 4180
Health: 1391; Armor: 0; MR: 26; Gold: 4190
Health: 1393; Armor: 0; MR: 26; Gold: 4200
Health: 1396; Armor: 0; MR: 26; Gold: 4210
Health: 1398; Armor: 0; MR: 26; Gold: 4220
Health: 1402; Armor: 0; MR: 26; Gold: 4230
Health: 1402; Armor: 0; MR: 27; Gold: 4240
Health: 1406; Armor: 0; MR: 27; Gold: 4250
Health: 1409; Armor: 0; MR: 27; Gold: 4260
Health: 1411; Armor: 0; MR: 27; Gold: 4270
Health: 1414; Armor: 0; MR: 27; Gold: 4280
Health: 1417; Armor: 0; MR: 28; Gold: 4290
Health: 1419; Armor: 0; MR: 28; Gold: 4300
Health: 1422; Armor: 0; MR: 28; Gold: 4310
Health: 1424; Armor: 0; MR: 28; Gold: 4320
Health: 1427; Armor: 0; MR: 28; Gold: 4330
Health: 1430; Armor: 0; MR: 28; Gold: 4340
Health: 1432; Armor: 0; MR: 29; Gold: 4350
Health: 1435; Armor: 0; MR: 29; Gold: 4360
Health: 1437; Armor: 0; MR: 29; Gold: 4370
Health: 1440; Armor: 0; MR: 29; Gold: 4380
Health: 1443; Armor: 0; MR: 29; Gold: 4390
Health: 1445; Armor: 0; MR: 29; Gold: 4400
Health: 1448; Armor: 0; MR: 30; Gold: 4410
Health: 1451; Armor: 0; MR: 30; Gold: 4420
Health: 1453; Armor: 0; MR: 30; Gold: 4430
Health: 1456; Armor: 0; MR: 30; Gold: 4440
Health: 1458; Armor: 0; MR: 30; Gold: 4450
Health: 1461; Armor: 0; MR: 30; Gold: 4460
Health: 1464; Armor: 0; MR: 31; Gold: 4470
Health: 1466; Armor: 0; MR: 31; Gold: 4480
Health: 1469; Armor: 0; MR: 31; Gold: 4490
Health: 1471; Armor: 0; MR: 31; Gold: 4500
Health: 1474; Armor: 0; MR: 31; Gold: 4510
Health: 1477; Armor: 0; MR: 31; Gold: 4520
Health: 1479; Armor: 0; MR: 32; Gold: 4530
Health: 1482; Armor: 0; MR: 32; Gold: 4540
Health: 1485; Armor: 0; MR: 32; Gold: 4550
Health: 1487; Armor: 0; MR: 32; Gold: 4560
Health: 1490; Armor: 0; MR: 32; Gold: 4570
Health: 1492; Armor: 0; MR: 32; Gold: 4580
Health: 1495; Armor: 0; MR: 33; Gold: 4590
Health: 1498; Armor: 0; MR: 33; Gold: 4600
Health: 1500; Armor: 0; MR: 33; Gold: 4610
Health: 1503; Armor: 0; MR: 33; Gold: 4620
Health: 1505; Armor: 0; MR: 33; Gold: 4630
Health: 1508; Armor: 0; MR: 33; Gold: 4640
Health: 1511; Armor: 0; MR: 34; Gold: 4650
Health: 1513; Armor: 0; MR: 34; Gold: 4660
Health: 1516; Armor: 0; MR: 34; Gold: 4670
Health: 1519; Armor: 0; MR: 34; Gold: 4680
Health: 1521; Armor: 0; MR: 34; Gold: 4690
Health: 1524; Armor: 0; MR: 34; Gold: 4700
Health: 1526; Armor: 0; MR: 35; Gold: 4710
Health: 1529; Armor: 0; MR: 35; Gold: 4720
Health: 1532; Armor: 0; MR: 35; Gold: 4730
Health: 1534; Armor: 0; MR: 35; Gold: 4740
Health: 1537; Armor: 0; MR: 35; Gold: 4750
Health: 1540; Armor: 0; MR: 35; Gold: 4760
Health: 1542; Armor: 0; MR: 36; Gold: 4770
Health: 1545; Armor: 0; MR: 36; Gold: 4780
Health: 1548; Armor: 0; MR: 36; Gold: 4790
Health: 1550; Armor: 0; MR: 36; Gold: 4800
Health: 1553; Armor: 0; MR: 36; Gold: 4810
Health: 1555; Armor: 0; MR: 36; Gold: 4820
Health: 1558; Armor: 0; MR: 37; Gold: 4830
Health: 1561; Armor: 0; MR: 37; Gold: 4840
Health: 1563; Armor: 0; MR: 37; Gold: 4850
Health: 1566; Armor: 0; MR: 37; Gold: 4860
Health: 1569; Armor: 0; MR: 37; Gold: 4870
Health: 1571; Armor: 0; MR: 37; Gold: 4880
Health: 1574; Armor: 0; MR: 38; Gold: 4890
Health: 1577; Armor: 0; MR: 38; Gold: 4900
Health: 1579; Armor: 0; MR: 38; Gold: 4910
Health: 1582; Armor: 0; MR: 38; Gold: 4920
Health: 1584; Armor: 0; MR: 38; Gold: 4930
Health: 1587; Armor: 0; MR: 38; Gold: 4940
Health: 1590; Armor: 0; MR: 39; Gold: 4950
Health: 1592; Armor: 0; MR: 39; Gold: 4960
